setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,width,seed,n_params
w=8 s=0,Random 50% #23,1714,-0.0051929851771431,0.0070436699913582,0.013303946436706,-0.0122366551685013,-0.0184969316138491,False,False,False,,8,0,209
w=8 s=0,Random 50% #24,1714,0.0201698382197979,0.0210589283630459,0.026254684457091,-0.000889090143248,-0.006084846237293,False,False,False,,8,0,209
w=8 s=0,Random 50% #25,1714,0.0024135223603308,0.0158495849004997,0.0119245207219106,-0.0134360625401689,-0.0095109983615797,False,False,False,,8,0,209
w=8 s=0,Random 50% #26,1714,-0.0063986093578627,0.011730852160238,0.0147308718857004,-0.0181294615181007,-0.0211294812435631,False,False,False,,8,0,209
w=8 s=0,Random 50% #27,1714,-0.0048317683881064,0.0152663886358996,0.0159851463307442,-0.020098157024006,-0.0208169147188506,False,False,False,,8,0,209
w=8 s=0,Random 50% #28,1714,0.0098094573797898,-7.646487100101962e-05,0.0295910874373739,0.0098859222507908,-0.019781630057584,True,True,True,,8,0,209
w=8 s=0,Random 50% #29,1714,0.0125552608311229,0.0121454824046643,0.008066778959515,0.0004097784264585,0.0044884818716078,False,False,False,,8,0,209
w=8 s=0,Random 50% #30,1714,0.0022139615866539,0.0129566679030566,0.0359325008713344,-0.0107427063164027,-0.0337185392846804,False,False,False,,8,0,209
w=8 s=0,Random 50% #31,1714,0.0081502190717898,-0.0005313904946932,0.0099229095854255,0.008681609566483,-0.0017726905136357,True,True,True,,8,0,209
w=8 s=0,Random 50% #32,1714,-0.0092920029904661,0.0054479808350231,0.020719029368442,-0.0147399838254893,-0.0300110323589082,False,False,False,,8,0,209
w=8 s=0,Random 50% #33,1714,-0.002514181228832,0.0101878599706194,0.0119049997599682,-0.0127020411994514,-0.0144191809888002,False,False,False,,8,0,209
w=8 s=0,Random 50% #34,1714,0.0070180513371488,0.0154987565506385,0.0103302332887475,-0.0084807052134897,-0.0033121819515986,False,False,False,,8,0,209
w=8 s=0,Random 50% #35,1714,0.0093248828878478,0.0128456732204367,0.0194362442068025,-0.0035207903325888,-0.0101113613189546,False,False,False,,8,0,209
w=8 s=0,Random 50% #36,1714,0.016912667846362,0.0083458239652034,0.0338668156557099,0.0085668438811585,-0.0169541478093478,False,True,True,,8,0,209
w=8 s=0,Random 50% #37,1714,0.0036653828805384,0.0083952483057379,0.0228634298125413,-0.0047298654251994,-0.0191980469320028,False,False,False,,8,0,209
w=8 s=0,Random 50% #38,1714,0.0021576191788371,0.0209563998179353,0.018751082664069,-0.0187987806390982,-0.0165934634852319,False,False,False,,8,0,209
w=8 s=0,Random 50% #39,1714,0.0170086158804934,0.0131414545295031,0.029024624071068,0.0038671613509903,-0.0120160081905746,False,True,True,,8,0,209
w=8 s=0,Random 50% #40,1714,0.018520937100027,0.019960067782934,0.0452633728053365,-0.0014391306829069,-0.0267424357053094,False,False,False,,8,0,209
w=8 s=0,Random 50% #41,1714,0.0027199322354597,0.0037805313321025,0.0029126839007277,-0.0010605990966428,-0.000192751665268,False,False,False,,8,0,209
w=8 s=0,Random 50% #42,1714,0.0178900300253214,0.0300155345976021,0.013507810004895,-0.0121255045722806,0.0043822200204263,False,True,True,,8,0,209
w=8 s=0,Random 50% #43,1714,0.0169958506224066,0.0128241282944747,0.0146234292143091,0.0041717223279318,0.0023724214080975,False,False,False,,8,0,209
w=8 s=0,Random 50% #44,1714,-0.0080414937759336,0.0152365138156788,0.0177542035810944,-0.0232780075916124,-0.025795697357028,False,False,False,,8,0,209
w=8 s=0,Random 50% #45,1714,-0.0006684003732017,0.017850431548983,0.0196826620222268,-0.0185188319221847,-0.0203510623954285,False,False,False,,8,0,209
w=8 s=0,Random 50% #46,1714,-0.0127567411871579,0.0223856872992062,0.0159459381577224,-0.0351424284863641,-0.0287026793448803,False,False,False,,8,0,209
w=8 s=0,Random 50% #47,1714,-0.0023071888899981,0.0180437976063385,0.0333677019120934,-0.0203509864963367,-0.0356748908020915,False,False,False,,8,0,209
w=8 s=0,Random 50% #48,1714,0.0007707867678387,0.0156909890596996,0.0157612871195828,-0.0149202022918609,-0.014990500351744,False,False,False,,8,0,209
w=8 s=0,Random 50% #49,1714,-0.0052585890287469,0.0119237798787231,0.013991534104148,-0.0171823689074701,-0.019250123132895,False,False,False,,8,0,209
w=8 s=0,Random 50% #50,1714,-0.009935439192208,0.0080441064570049,-0.0029705777748487,-0.017979545649213,-0.0069648614173592,True,False,True,,8,0,209
w=8 s=0,Random 30% #1,1028,0.0177032019704433,0.0269524828995375,0.0170811608117339,-0.0092492809290941,0.0006220411587093,False,True,True,,8,0,209
w=8 s=0,Random 30% #2,1028,-0.0188812287552644,0.0089575786401122,-0.0023984083858784,-0.0278388073953767,-0.0164828203693859,True,False,True,,8,0,209
