setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,n_estimators
trees 25,Age decile 3,325,0.0096292729898892,0.0088370277714794,0.0078897685131805,0.0007922452184098,0.0017395044767087,False,False,False,,25
trees 25,Age decile 4,372,-0.0152359717577108,0.0009739145640711,-0.0015077350591248,-0.016209886321782,-0.013728236698586,True,False,True,,25
trees 25,Age decile 5,344,-0.0250497851378262,0.0145975355605148,0.0108374802155118,-0.0396473206983411,-0.0358872653533381,False,False,False,,25
trees 25,Age decile 6,397,-0.0004719207173194,0.0060524610756333,-0.0045840836017128,-0.0065243817929528,0.0041121628843933,True,True,True,,25
trees 25,Age decile 7,247,0.0173747705218987,0.0218446394291831,0.0022819965683097,-0.0044698689072843,0.015092773953589,False,True,True,,25
trees 25,Age decile 8,354,-0.0216450216450216,0.0043810658124618,-0.0095507591109886,-0.0260260874574834,-0.012094262534033,True,False,True,,25
trees 25,Age decile 9,325,-0.0771864301276066,0.0202351583033414,-0.0104737109019123,-0.0974215884309481,-0.0667127192256942,True,False,True,,25
trees 25,HR quartile 0,877,0.0371049136786188,0.0262514486035225,0.0181037900118555,0.0108534650750962,0.0190011236667633,False,False,False,,25
trees 25,HR quartile 1,917,-0.0169849537037037,0.0068540705556558,0.0008852664243291,-0.0238390242593595,-0.0178702201280328,False,False,False,,25
trees 25,HR quartile 2,816,0.034861311019492,0.0037053507511632,0.0084752111571722,0.0311559602683288,0.0263860998623197,False,False,False,,25
trees 25,HR quartile 3,819,-0.0232600311906863,0.0044942271819043,0.0084422445317093,-0.0277542583725906,-0.0317022757223956,False,False,False,,25
trees 25,MAP quartile 0,877,-0.0141240285818599,0.0078896862373835,0.0061317783166363,-0.0220137148192434,-0.0202558068984962,False,False,False,,25
trees 25,MAP quartile 1,840,0.02392179413456,0.0176322309888338,0.0158331711674264,0.0062895631457262,0.0080886229671336,False,False,False,,25
trees 25,MAP quartile 2,866,0.0104058609958506,0.0099828323403458,0.0035255221294317,0.0004230286555047,0.0068803388664188,False,False,False,,25
trees 25,MAP quartile 3,846,0.0090927756430939,0.016974864304577,0.0168331295778083,-0.0078820886614831,-0.0077403539347144,False,False,False,,25
trees 25,Temp quartile 0,902,0.0068727157158747,0.0173919110789204,0.0133115883230519,-0.0105191953630457,-0.0064388726071771,False,False,False,,25
trees 25,Temp quartile 1,864,0.0305627470437901,0.0150904655018305,0.010178552825218,0.0154722815419596,0.020384194218572,False,False,False,,25
trees 25,Temp quartile 2,838,-0.0036346905912123,0.0076833502747065,0.0110391604055721,-0.0113180408659188,-0.0146738509967844,False,False,False,,25
trees 25,Temp quartile 3,825,-0.0023612750885478,0.0045969342605446,0.0084178096774946,-0.0069582093490924,-0.0107790847660424,False,False,False,,25
trees 25,Urine quartile 0,859,-0.0313289760348584,0.0010780108448986,0.0016493510531996,-0.032406986879757,-0.032978327088058,False,False,False,,25
trees 25,Urine quartile 1,913,-0.0210526315789473,-0.0023955552653072,0.0032786596584263,-0.0186570763136401,-0.0243312912373736,True,False,True,,25
trees 25,Urine quartile 2,802,0.0149901230333403,0.0152385824547469,0.0118610423677248,-0.0002484594214066,0.0031290806656154,False,True,True,,25
trees 25,Urine quartile 3,855,0.0601118199903958,0.020501905590308,0.0012893979685222,0.0396099144000877,0.0588224220218735,False,False,False,,25
trees 25,SAPS quartile 0,1025,0.0026756349262149,0.004248825869048,0.0033096721869503,-0.0015731909428331,-0.0006340372607353,False,False,False,,25
trees 25,SAPS quartile 1,946,0.0452124666297511,0.0011227740630403,0.0112962172747037,0.0440896925667108,0.0339162493550474,False,False,False,,25
trees 25,SAPS quartile 2,660,0.0015384615384615,0.0076059269238836,0.0032179274725226,-0.0060674653854221,-0.001679465934061,False,False,False,,25
trees 25,SAPS quartile 3,798,-0.0389986891196934,0.0203239379208949,0.0120757243440969,-0.0593226270405884,-0.0510744134637903,False,False,False,,25
trees 25,HR > 100,945,-0.0351262896411669,0.0035124226425971,0.0072951727580677,-0.0386387122837641,-0.0424214623992346,False,False,False,,25
trees 25,MAP < 65,697,-0.0279136809159047,0.0041625204306537,0.0054454729011925,-0.0320762013465585,-0.0333591538170973,False,False,False,,25
trees 25,Temp > 38C,267,-0.0430204913392958,0.0080265950191828,0.0094162740979879,-0.0510470863584786,-0.0524367654372837,False,False,False,,25
trees 25,Urine > 1000,210,0.0458952811893988,0.0190857303363127,-0.0035015648855805,0.0268095508530861,0.0493968460749793,True,False,True,,25
trees 25,Random 50% #1,1714,0.0148182289884191,0.009133551515933,0.0071455314419229,0.0056846774724861,0.0076726975464962,False,False,False,,25
